congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,Senate,4000,Anti-Administration,9,-0.2375,-0.213,-0.23975,-0.04475
1,Senate,5000,Pro-Administration,20,0.427,-0.3085,0.3520499999999999,-0.1662
2,President,5000,Pro-Administration,1,,,,
2,Senate,4000,Anti-Administration,14,-0.392,-0.544,-0.361214286,-0.308
2,Senate,5000,Pro-Administration,17,0.446,-0.252,0.3864117647058823,-0.117882353
3,President,5000,Pro-Administration,1,,,,
3,Senate,4000,Anti-Administration,15,-0.37,-0.548,-0.376933333,-0.432
3,Senate,5000,Pro-Administration,18,0.5705,-0.179,0.5734999999999999,0.003888889
4,President,1,Federalist,1,,,,
4,Senate,1,Federalist,29,0.6185,-0.046,0.5752500000000002,0.031178571428571444
4,Senate,13,Democrat-Republican,14,-0.37,-0.462,-0.392769231,-0.349692308
5,President,1,Federalist,1,,,,
5,Senate,1,Federalist,31,0.717,-0.043,0.5952903225806452,0.035
5,Senate,13,Democrat-Republican,14,-0.364,0.023,-0.320769231,-0.152
6,President,1,Federalist,1,,,,
6,Senate,1,Federalist,27,0.625,0.036,0.5730000000000001,0.077481481
6,Senate,13,Democrat-Republican,11,-0.277,0.023,-0.317181818,-0.107
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,Senate,1,Federalist,16,0.6890000000000001,-0.1075,0.6684999999999999,-0.1065
7,Senate,13,Democrat-Republican,20,-0.232,-0.22,-0.268684211,-0.241631579
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,Senate,1,Federalist,10,0.6665000000000001,-0.329,0.6515000000000001,-0.1751
8,Senate,13,Democrat-Republican,34,-0.2125,-0.22,-0.240176471,-0.298411765
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,Senate,1,Federalist,7,0.646,-0.409,0.6585714285714285,-0.238142857
9,Senate,13,Democrat-Republican,30,-0.1255,-0.164,-0.111766667,-0.165033333
10,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
10,Senate,1,Federalist,7,0.619,-0.249,0.6241428571428571,-0.236714286
10,Senate,13,Democrat-Republican,32,-0.065,0.068,-0.100645161,-0.012290323
11,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
11,Senate,1,Federalist,10,0.643,-0.1705,0.6561999999999999,-0.2047
11,Senate,13,Democrat-Republican,34,-0.065,0.068,-0.071757576,0.051575757575757566
12,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
12,Senate,1,Federalist,6,0.5945,-0.1465,0.6251666666666666,-0.1715
12,Senate,13,Democrat-Republican,31,-0.126,0.023,-0.089193548,-0.035548387
13,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
13,Senate,1,Federalist,10,0.563,-0.242,0.5939,-0.1883
13,Senate,13,Democrat-Republican,36,-0.2145,0.039,-0.12875,-0.008472222
14,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
14,Senate,1,Federalist,15,0.522,-0.182,0.5280666666666667,-0.1964
14,Senate,13,Democrat-Republican,29,-0.112,0.063,-0.128793103,0.033344828
15,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
15,Senate,1,Federalist,13,0.522,-0.237,0.565,-0.287846154
15,Senate,13,Democrat-Republican,33,-0.041,0.132,-0.073969697,0.08069697
16,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
16,Senate,1,Federalist,10,0.5994999999999999,-0.245,0.5972000000000001,-0.2781
16,Senate,13,Democrat-Republican,41,-0.026,0.052,0.012634146341463415,0.056365854
17,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
17,Senate,1,Federalist,5,0.575,-0.237,0.5668,-0.2076
17,Senate,13,Democrat-Republican,48,0.034,0.0455,0.082458333,0.044020833
18,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
18,Senate,1346,Jackson Republican,12,-0.1835,-0.0835,-0.160583333,-0.042666667
18,Senate,7777,Crawford Republican,22,0.076,0.006,0.10250000000000002,-0.058909091
18,Senate,8000,Adams-Clay Federalist,5,0.57,-0.253,0.5224,-0.2444
18,Senate,8888,Adams-Clay Republican,14,0.23299999999999998,0.3745,0.22735714285714284,0.43757142857142856
19,President,22,Adams,1,0.396,-0.147,0.396,-0.147
19,Senate,22,Adams,26,0.37,0.38,0.3494,0.4073199999999999
19,Senate,555,Jackson,32,-0.142,-0.226,-0.098709677,-0.210322581
19,Senate,1346,Jackson Republican,1,-0.497,0.868,-0.497,0.868
19,Senate,7777,Crawford Republican,1,0.919,0.377,0.919,0.377
20,President,22,Adams,1,0.396,-0.147,0.396,-0.147
20,Senate,22,Adams,23,0.37,0.558,0.3368260869565217,0.479
20,Senate,555,Jackson,30,-0.0745,-0.2315,-0.096333333,-0.179466667
21,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
21,Senate,555,Jackson,31,-0.0985,-0.187,-0.157733333,-0.1412
21,Senate,1275,Anti-Jackson,23,0.395,0.38,0.38760869565217393,0.42165217391304344
22,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
22,Senate,44,Nullifier,3,-0.04,-0.571,-0.032,-0.568333333
22,Senate,555,Jackson,29,-0.161,0.059,-0.20537931,0.10848275862068969
22,Senate,1275,Anti-Jackson,23,0.4075,0.3095,0.4065454545454545,0.28277272727272723
23,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
23,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
23,Senate,555,Jackson,25,-0.274,-0.021,-0.30032,0.11124000000000002
23,Senate,1275,Anti-Jackson,29,0.384,0.18,0.3120344827586207,0.13972413793103447
24,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
24,Senate,44,Nullifier,2,-0.0805,-0.062,-0.0805,-0.062
24,Senate,555,Jackson,34,-0.344,-0.0095,-0.378529412,0.071970588
24,Senate,1275,Anti-Jackson,27,0.274,0.18,0.25718518518518524,0.166962963
25,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
25,Senate,29,Whig,19,0.181,0.181,0.21010526315789468,0.2663684210526316
25,Senate,100,Democrat,40,-0.341,-0.1245,-0.364825,-0.038925
26,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
26,Senate,29,Whig,28,0.251,0.174,0.2073214285714286,0.2530714285714285
26,Senate,100,Democrat,32,-0.3695,-0.1695,-0.39009375,-0.1026875
27,President,29,Whig,2,0.251,-0.968,0.251,-0.968
27,Senate,29,Whig,34,0.251,0.2595,0.19973529411764707,0.24435294117647058
27,Senate,100,Democrat,25,-0.373,-0.161,-0.40524,-0.13648
28,President,29,Whig,1,0.251,-0.968,0.251,-0.968
28,Senate,29,Whig,29,0.216,0.25,0.16941379310344834,0.24172413793103448
28,Senate,100,Democrat,30,-0.412,-0.2215,-0.421933333,-0.121966667
28,Senate,403,Law and Order,1,0.353,-0.355,0.353,-0.355
29,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
29,Senate,29,Whig,26,0.28049999999999997,0.2235,0.24465384615384622,0.24496153846153845
29,Senate,100,Democrat,39,-0.43,-0.082,-0.428897436,-0.015435897
29,Senate,1111,Liberty,1,0.907,0.29,0.907,0.29
30,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
30,Senate,29,Whig,24,0.2115,0.248,0.2047916666666667,0.3165833333333333
30,Senate,100,Democrat,47,-0.398,-0.175,-0.380851064,-0.175
30,Senate,329,Ind. Democrat,1,0.11,-0.8,0.11,-0.8
31,President,29,Whig,2,,,,
31,Senate,29,Whig,29,0.244,0.243,0.18642857142857142,0.31889285714285703
31,Senate,100,Democrat,40,-0.377,-0.151,-0.374,-0.1298
31,Senate,300,Free Soil,2,0.2125,-0.8745,0.2125,-0.8745
32,President,29,Whig,1,,,,
32,Senate,29,Whig,26,0.102,0.2965,0.0945,0.3755769230769231
32,Senate,100,Democrat,44,-0.384,-0.051,-0.378295455,-0.115886364
32,Senate,300,Free Soil,3,0.315,-0.8,0.25566666666666665,-0.664333333
33,President,100,Democrat,1,0.256,0.132,0.256,0.132
33,Senate,29,Whig,23,0.03,0.373,0.070565217,0.379695652
33,Senate,100,Democrat,42,-0.384,0.008,-0.362214286,-0.090904762
33,Senate,300,Free Soil,4,0.4305,-0.5615,0.4705,-0.579
33,Senate,310,American,1,0.332,-0.22,0.332,-0.22
34,President,100,Democrat,1,0.256,0.132,0.256,0.132
34,Senate,100,Democrat,39,-0.405,0.033,-0.380384615,0.009051282
34,Senate,200,Republican,1,0.343,-0.291,0.343,-0.291
34,Senate,310,American,1,-0.361,-0.056,-0.361,-0.056
34,Senate,3333,Opposition,23,0.214,0.1585,0.13822727272727275,0.086409091
35,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
35,Senate,100,Democrat,47,-0.421,0.137,-0.408425532,0.1286595744680851
35,Senate,200,Republican,21,0.268,-0.228,0.2509523809523809,-0.358619048
35,Senate,310,American,5,-0.08,0.453,-0.1458,0.40519999999999995
36,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
36,Senate,100,Democrat,41,-0.445,0.101,-0.432585366,0.06597561
36,Senate,200,Republican,27,0.244,-0.244,0.23907407407407402,-0.373
36,Senate,310,American,2,-0.108,0.4395,-0.108,0.4395
37,President,200,Republican,1,0.431,0.902,0.431,0.902
37,Senate,100,Democrat,29,-0.421,0.114,-0.393172414,0.10144827586206898
37,Senate,200,Republican,37,0.214,-0.236,0.19974999999999996,-0.346083333
37,Senate,206,Unionist,8,-0.183,0.208,-0.147,0.07175
38,President,200,Republican,1,0.431,0.902,0.431,0.902
38,Senate,100,Democrat,11,-0.303,0.265,-0.296181818,0.29154545454545455
38,Senate,200,Republican,34,0.27,-0.1375,0.25064705882352944,-0.209617647
38,Senate,203,Unconditional Unionist,5,0.025,-0.037,0.0244,-0.092
38,Senate,206,Unionist,5,-0.1915,0.386,-0.185,0.36125000000000007
39,President,200,Republican,2,0.431,0.902,0.431,0.902
39,Senate,100,Democrat,11,-0.275,0.182,-0.294090909,0.1752727272727273
39,Senate,200,Republican,44,0.27,-0.078,0.23495454545454544,-0.138681818
39,Senate,203,Unconditional Unionist,3,0.025,0.278,0.055666667,0.3866666666666667
39,Senate,206,Unionist,1,-0.289,0.45,-0.289,0.45
40,President,200,Republican,1,,,,
40,Senate,100,Democrat,12,-0.4275,0.11649999999999999,-0.428,0.089166667
40,Senate,200,Republican,57,0.286,0.059,0.2555614035087719,0.096245614
41,President,200,Republican,1,0.18,0.018,0.18,0.018
41,Senate,100,Democrat,13,-0.42,-0.136,-0.448384615,-0.093538462
41,Senate,200,Republican,67,0.28049999999999997,0.0315,0.2611363636363636,0.084863636
42,President,200,Republican,1,0.18,0.018,0.18,0.018
42,Senate,100,Democrat,18,-0.4555,-0.236,-0.457888889,-0.221444444
42,Senate,200,Republican,56,0.2845,0.0445,0.2677142857142857,0.046375
42,Senate,208,Liberal Republican,1,0.022,-0.343,0.022,-0.343
43,President,200,Republican,1,0.18,0.018,0.18,0.018
43,Senate,100,Democrat,21,-0.42,-0.139,-0.481619048,-0.197857143
43,Senate,200,Republican,51,0.285,0.124,0.27466666666666667,0.083666667
43,Senate,208,Liberal Republican,7,0.122,-0.343,0.14857142857142858,-0.218857143
44,President,200,Republican,1,0.18,0.018,0.18,0.018
44,Senate,100,Democrat,34,-0.42,-0.041,-0.44569697,-0.089606061
44,Senate,200,Republican,47,0.274,0.106,0.2525106382978723,0.077638298
44,Senate,331,Ind. Republican,1,0.104,-0.118,0.104,-0.118
45,President,200,Republican,1,,,,
45,Senate,100,Democrat,38,-0.4175,-0.037,-0.436578947,-0.113526316
45,Senate,200,Republican,43,0.274,0.13,0.26655813953488366,0.10606976744186049
45,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
46,President,200,Republican,1,,,,
46,Senate,100,Democrat,45,-0.43,-0.039,-0.4526,-0.116755556
46,Senate,200,Republican,35,0.286,0.059,0.29534285714285713,-0.027171429
46,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
47,President,200,Republican,2,0.095,-0.995,0.095,-0.995
47,Senate,100,Democrat,38,-0.4335,0.0075,-0.448815789,-0.052763158
47,Senate,114,Readjuster,1,0.397,0.296,0.397,0.296
47,Senate,200,Republican,45,0.314,-0.158,0.3147555555555555,-0.113044444
47,Senate,328,Independent,1,-0.06,-0.083,-0.06,-0.083
48,President,200,Republican,1,0.095,-0.995,0.095,-0.995
48,Senate,100,Democrat,36,-0.4335,-0.052,-0.449444444,-0.091666667
48,Senate,114,Readjuster,2,0.20400000000000001,0.23349999999999999,0.20400000000000001,0.23349999999999999
48,Senate,200,Republican,40,0.308,-0.2515,0.311025,-0.192675
49,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
49,Senate,100,Democrat,39,-0.43,-0.071,-0.445820513,-0.125666667
49,Senate,200,Republican,45,0.288,-0.218,0.29806666666666665,-0.158666667
50,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
50,Senate,100,Democrat,37,-0.457,-0.071,-0.458837838,-0.123081081
50,Senate,200,Republican,40,0.287,-0.2305,0.28857499999999997,-0.1785
51,President,200,Republican,1,0.268,-0.182,0.268,-0.182
51,Senate,100,Democrat,38,-0.447,-0.0785,-0.452842105,-0.124078947
51,Senate,200,Republican,53,0.304,-0.183,0.3122264150943397,-0.10445283
52,President,200,Republican,1,0.268,-0.182,0.268,-0.182
52,Senate,100,Democrat,45,-0.43,-0.086,-0.441111111,-0.184688889
52,Senate,200,Republican,49,0.305,-0.187,0.31065306122448977,-0.115734694
52,Senate,340,Populist,2,-0.083,0.7395,-0.083,0.7395
53,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
53,Senate,100,Democrat,48,-0.4265,-0.0235,-0.438229167,-0.158395833
53,Senate,200,Republican,44,0.3115,-0.185,0.323,-0.131022727
53,Senate,340,Populist,3,-0.108,0.977,-0.126666667,0.8186666666666667
53,Senate,1060,Silver,1,0.252,0.215,0.252,0.215
54,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
54,Senate,100,Democrat,40,-0.414,-0.1055,-0.42285,-0.173075
54,Senate,200,Republican,44,0.3215,-0.1525,0.3461818181818182,-0.090863636
54,Senate,340,Populist,4,-0.161,0.976,-0.15025,0.85775
54,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
55,President,200,Republican,1,0.232,0.372,0.232,0.372
55,Senate,100,Democrat,38,-0.424,0,-0.426054054,-0.126135135
55,Senate,200,Republican,46,0.374,-0.303,0.38110869565217387,-0.294847826
55,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
55,Senate,354,Silver Republican,5,0.095,0.825,0.0666,0.7901999999999999
55,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
56,President,200,Republican,1,0.232,0.372,0.232,0.372
56,Senate,100,Democrat,28,-0.4325,-0.061,-0.418071429,-0.096892857
56,Senate,200,Republican,57,0.386,-0.2445,0.3968571428571428,-0.218464286
56,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354000000000001
56,Senate,354,Silver Republican,3,0.071,0.825,0.026999999999999996,0.769
56,Senate,1060,Silver,2,0.22799999999999998,0.2235,0.22799999999999998,0.2235
57,President,200,Republican,2,0.3175,0.425,0.3175,0.425
57,Senate,100,Democrat,32,-0.397,-0.011,-0.37375,-0.01946875
57,Senate,200,Republican,60,0.4015,-0.295,0.3994166666666666,-0.190366667
57,Senate,340,Populist,2,-0.188,0.8765000000000001,-0.188,0.8765000000000001
58,President,200,Republican,1,0.403,0.478,0.403,0.478
58,Senate,100,Democrat,33,-0.39,-0.144,-0.360545455,-0.14130303
58,Senate,200,Republican,60,0.435,-0.295,0.4337166666666667,-0.199316667
59,President,200,Republican,1,0.403,0.478,0.403,0.478
